Target,Altitude,Time
700,79.3515,0
700,79.3687,0
700,79.7921,0.08
700,80.1128,0.18
700,80.4119,0.28
700,80.6895,0.38
700,82.5995,0.78
700,83.3853,0.88
700,84.3116,0.98
700,85.3816,1.08
700,86.5974,1.18
700,87.9602,1.28
700,89.4709,1.38
700,91.13,1.48
700,92.938,1.58
700,94.8953,1.68
700,97.002,1.78
700,99.2586,1.88
700,101.665,1.98
700,104.222,2.08
700,106.929,2.18
700,109.788,2.28
700,112.797,2.38
700,115.957,2.48
700,119.268,2.58
700,122.731,2.68
700,126.345,2.78
700,130.111,2.88
700,134.03,2.98
700,138.1,3.08
700,142.323,3.18
700,146.698,3.28
700,151.225,3.38
700,155.906,3.48
700,160.739,3.58
700,165.726,3.68
700,170.865,3.78
700,176.158,3.88
700,181.604,3.98
700,187.204,4.08
700,192.957,4.18
700,200.064,4.36
700,209.885,4.46
700,216.223,4.56
700,222.716,4.66
700,229.362,4.76
700,236.163,4.86
700,243.119,4.96
700,251.669,5.08
700,258.964,5.18
700,266.414,5.28
700,274.019,5.38
700,281.778,5.48
700,289.692,5.58
700,297.761,5.68
700,305.985,5.78
700,314.364,5.88
700,322.898,5.98
700,331.587,6.08
700,340.431,6.18
700,349.431,6.28
700,358.585,6.38
700,367.894,6.48
700,377.359,6.58
700,386.978,6.68
700,396.753,6.78
700,406.683,6.88
700,416.768,6.98
700,427.009,7.08
700,437.404,7.18
700,447.955,7.28
700,458.661,7.38
700,902.297,10.72
700,937.755,10.92
700,963.909,11.06
700,976.918,11.16
700,993.067,11.26
700,1009.09,11.4
700,1034.47,11.52
700,1050.17,11.62
700,1065.74,11.72
700,1081.19,11.82
700,1096.52,11.92
700,1111.72,12.02
700,1126.8,12.12
700,1141.76,12.22
700,1156.59,12.32
700,1171.31,12.42
700,1188.8,12.52
700,1200.37,13
700,1268.15,13.1
700,1281.92,13.2
700,1295.58,13.3
700,1309.11,13.4
700,1322.53,13.5
700,1335.83,13.6
700,1349.01,13.7
700,1362.08,13.8
700,1375.02,13.9
700,1387.86,14
700,1400.57,14.1
700,1413.17,14.2
700,1425.65,14.3
700,1438.02,14.4
700,1450.27,14.5
700,1507.49,14.98
700,1519.08,15.08
700,1530.56,15.18
700,1541.93,15.28
700,1553.18,15.38
700,1564.32,15.5
700,1577.55,15.6
700,1588.44,15.7
700,1599.23,15.8
700,1620.47,16
700,1630.92,16.1
700,1641.27,16.2
700,1651.5,16.3
700,1661.63,16.4
700,1671.64,16.5
700,1681.55,16.6
700,1691.35,16.7
700,1701.04,16.8
700,1704.89,16.9
700,1704.89,17.02
700,1704.89,17.12
700,1740.57,17.22
700,1749.7,17.32
700,1758.72,17.42
700,1767.64,17.52
700,1776.46,17.62
700,1786.89,17.74
700,1795.47,17.84
700,1803.95,17.94
700,1812.31,18.04
700,1820.58,18.14
700,1828.74,18.24
700,1836.79,18.34
700,1839.98,18.44
700,1839.98,18.54
700,1839.98,18.64
700,1867.96,18.74
700,1875.5,18.84
700,1882.93,18.94
700,1894.6,19.1
700,1901.76,19.2
700,1908.82,19.3
700,1915.78,19.4
700,1922.63,19.5
700,1929.38,19.6
700,1936.03,19.7
700,1942.58,19.8
700,1949.02,19.9
700,1955.37,20
700,1961.61,20.1
700,1967.75,20.2
700,1973.79,20.3
700,1979.73,20.4
700,1985.56,20.5
700,1991.3,20.6
700,1998.05,20.72
700,2003.56,20.82
700,2010.05,20.94
700,2015.34,21.04
700,2020.53,21.14
700,2025.63,21.24
700,2030.62,21.34
700,2035.51,21.44
700,2042.2,21.58
700,2046.85,21.68
700,2051.41,21.78
700,2055.86,21.88
700,2060.22,21.98
700,2064.48,22.08
700,2068.63,22.18
