kP,kI,kD
1e-05,1e-05,0.0001
Target,Altitude,Time,P,I,D,Thrott,Thrott_G
1000,79.3656,0,920.634,0,0,0.412415,0.403209
1000,79.3671,0,920.634,0,0,0.412412,0.403205
1000,79.3905,0,920.631,0,0,0.41235,0.403143
1000,79.4402,0,920.601,0,0,0.412237,0.403031
1000,79.4955,0,920.549,0,0,0.412095,0.402889
1000,79.55,0,920.494,0,0,0.411935,0.40273
1000,79.5795,0,920.45,0,0,0.411765,0.402561
1000,79.6133,0,920.414,0,0,0.411589,0.402385
1000,79.6468,0.06,920.38,-18.4076,-23009.5,-1.88972,0.402207
1000,79.6757,0.16,920.346,27.6104,15339.1,1.94543,0.40204
1000,79.6436,0.26,920.324,73.626,5752.03,0.987143,0.402
1000,79.583,0.36,920.369,119.648,3539.88,0.76623,0.401842
1000,79.5656,0.46,920.426,165.677,2556.74,0.668104,0.40157
1000,79.6202,0.56,920.429,211.699,2000.93,0.612677,0.401262
1000,79.7424,0.66,920.361,257.701,1643.5,0.577094,0.400963
1000,79.9211,0.76,920.226,303.675,1394.28,0.552352,0.400685
1000,80.1465,0.86,920.037,349.614,1210.58,0.534178,0.400424
1000,80.4118,0.96,919.803,395.515,1069.54,0.52028,0.400173
1000,80.7118,1.06,919.531,441.375,957.845,0.509324,0.399931
1000,81.0431,1.16,919.159,487.154,867.131,0.500471,0.399695
1000,81.4027,1.26,918.887,532.955,792.144,0.493196,0.399463
1000,81.7883,1.36,918.522,578.669,728.986,0.487106,0.399235
1000,82.1981,1.46,918.132,624.33,675.097,0.481945,0.399011
1000,82.6306,1.56,917.717,669.934,628.573,0.477522,0.398788
1000,83.1778,1.66,917.28,715.479,588,0.473696,0.398568
1000,83.5587,1.76,916.822,760.962,552.303,0.470358,0.39835
1000,84.0523,1.86,916.344,806.383,520.65,0.467425,0.398133
1000,84.5645,1.96,915.847,851.737,492.391,0.464832,0.397918
1000,85.0945,2.06,915.331,897.024,467.006,0.462527,0.397703
1000,85.6419,2.16,914.797,942.241,444.076,0.460468,0.39749
1000,86.206,2.26,914.247,987.386,423.262,0.45862,0.397277
1000,86.7864,2.36,913.679,1032.46,404.283,0.456955,0.397065
1000,87.3826,2.46,913.096,1077.45,386.905,0.45545,0.396854
1000,87.9943,2.56,912.496,1122.37,370.933,0.454085,0.396643
1000,88.6213,2.66,911.881,1167.21,356.204,0.452845,0.396433
1000,89.2631,2.76,911.252,1211.96,342.576,0.451713,0.396224
1000,89.9195,2.86,910.607,1256.64,329.93,0.45068,0.396014
1000,90.5903,2.96,909.814,1301.03,318.117,0.449726,0.395806
1000,91.2753,3.06,909.274,1345.73,307.187,0.448866,0.395597
1000,91.9743,3.16,908.586,1390.14,296.924,0.448068,0.395389
1000,92.6871,3.26,907.884,1434.46,287.305,0.447335,0.395181
1000,93.4136,3.36,907.169,1478.68,278.273,0.446659,0.394973
1000,94.1537,3.46,906.439,1522.82,269.774,0.446035,0.394765
1000,94.9072,3.56,905.697,1566.86,261.762,0.445459,0.394558
1000,95.829,3.66,904.94,1610.79,254.197,0.444927,0.39435
1000,96.4541,3.76,904.171,1654.63,247.041,0.444435,0.394143
1000,97.2473,3.86,903.388,1698.37,240.263,0.44398,0.393936
1000,98.0537,3.96,902.592,1742,233.832,0.443558,0.393729
1000,98.873,4.06,901.784,1785.53,227.723,0.443167,0.393522
1000,99.7053,4.16,900.962,1828.95,221.912,0.442805,0.393315
1000,100.551,4.26,900.127,1872.26,216.377,0.442469,0.393108
1000,101.409,4.36,899.279,1915.46,211.098,0.442158,0.392901
1000,102.28,4.46,898.418,1958.55,206.059,0.44187,0.392694
1000,103.163,4.56,897.545,2001.52,201.243,0.441602,0.392487
1000,104.06,4.66,896.658,2044.38,196.636,0.441354,0.39228
1000,105.153,4.76,895.578,2086.7,192.184,0.441115,0.392073
1000,105.892,4.86,894.847,2129.74,187.993,0.440912,0.391867
1000,106.827,4.96,893.922,2172.23,183.935,0.440715,0.39166
1000,107.774,5.06,892.985,2214.6,180.037,0.440532,0.391453
1000,108.735,5.16,892.035,2256.85,176.291,0.440364,0.391246
1000,109.708,5.26,890.877,2298.46,172.651,0.440197,0.391039
1000,110.694,5.36,890.096,2340.95,169.22,0.440064,0.390832
1000,111.693,5.46,889.107,2382.81,165.878,0.439931,0.390624
1000,112.705,5.56,888.105,2424.53,162.657,0.439809,0.390417
1000,113.73,5.66,887.091,2466.11,159.549,0.439697,0.39021
1000,114.768,5.76,886.064,2507.56,156.548,0.439594,0.390002
1000,115.818,5.86,885.023,2548.87,153.65,0.439499,0.389795
1000,116.882,5.96,883.97,2590.03,150.848,0.439412,0.389588
1000,117.958,6.06,882.904,2631.05,148.138,0.439333,0.38938
1000,119.267,6.16,881.825,2671.93,145.516,0.439261,0.389172
1000,120.15,6.26,880.733,2712.66,142.976,0.439196,0.388964
1000,121.266,6.36,879.628,2753.23,140.516,0.439137,0.388756
1000,122.395,6.46,878.509,2793.66,138.13,0.439083,0.388548
1000,123.537,6.56,877.378,2833.93,135.817,0.439035,0.38834
1000,124.692,6.66,876.233,2874.05,133.572,0.438992,0.388132
1000,125.86,6.76,875.075,2914,131.393,0.438954,0.387924
1000,127.042,6.86,873.904,2953.8,129.276,0.43892,0.387715
1000,128.237,6.96,872.72,2993.43,127.219,0.43889,0.387507
1000,129.446,7.06,871.522,3032.9,125.219,0.438864,0.387298
1000,130.914,7.16,870.311,3072.2,123.273,0.438842,0.387089
1000,131.903,7.26,869.086,3111.33,121.381,0.438823,0.38688
1000,133.404,7.36,867.848,3150.29,119.538,0.438807,0.386671
1000,134.415,7.46,866.596,3189.07,117.744,0.438793,0.386462
1000,135.691,7.56,865.331,3227.68,115.996,0.438783,0.386253
1000,136.981,7.66,864.052,3266.12,114.293,0.438775,0.386044
1000,138.285,7.76,862.759,3304.37,112.632,0.438768,0.385834
1000,139.603,7.86,861.452,3342.44,111.012,0.438765,0.385624
1000,140.934,7.96,860.132,3380.32,109.432,0.438762,0.385415
1000,142.28,8.06,858.798,3418.02,107.889,0.438762,0.385205
1000,143.639,8.16,857.45,3455.52,106.383,0.438763,0.384995
1000,145.012,8.26,856.087,3492.84,104.913,0.438765,0.384784
1000,146.679,8.36,854.711,3529.96,103.476,0.438768,0.384574
1000,147.802,8.46,853.321,3566.88,102.072,0.438773,0.384364
1000,149.217,8.56,851.916,3603.61,100.699,0.438778,0.384153
1000,150.648,8.66,850.498,3640.13,99.3572,0.438784,0.383942
1000,152.092,8.76,849.065,3676.45,98.0444,0.438791,0.383732
1000,153.551,8.86,847.617,3712.56,96.76,0.438798,0.383521
1000,155.024,8.96,846.156,3748.47,95.5029,0.438806,0.383309
1000,156.512,9.06,844.68,3784.16,94.2723,0.438814,0.383098
1000,158.316,9.16,843.189,3819.65,93.0672,0.438822,0.382887
1000,159.531,9.26,841.684,3854.91,91.8869,0.43883,0.382675
1000,161.063,9.36,840.164,3889.96,90.7304,0.438838,0.382464
1000,162.609,9.46,838.629,3924.78,89.5971,0.438846,0.382252
1000,164.17,9.56,837.08,3959.39,88.4862,0.438853,0.38204
1000,165.746,9.66,835.516,3993.77,87.397,0.43886,0.381828
1000,167.337,9.76,833.937,4027.91,86.3289,0.438867,0.381615
1000,168.943,9.86,832.343,4061.83,85.281,0.438873,0.381403
1000,170.564,9.96,830.734,4095.52,84.2529,0.438878,0.381191
1000,172.529,10.06,829.11,4128.97,83.244,0.438883,0.380978
1000,174.183,10.16,827.471,4162.18,82.2536,0.438887,0.380765
1000,175.853,10.26,825.817,4195.15,81.2812,0.43889,0.380552
1000,177.199,10.36,824.147,4227.88,80.3263,0.438892,0.380339
1000,178.896,10.46,822.463,4260.36,79.3883,0.438893,0.380126
1000,180.608,10.56,820.763,4292.59,78.4668,0.438893,0.379913
1000,182.336,10.66,819.047,4324.57,77.5613,0.438891,0.379699
1000,184.08,10.76,817.316,4356.3,76.6713,0.438889,0.379486
1000,186.192,10.86,815.57,4387.77,75.7965,0.438885,0.379272
1000,187.613,10.96,813.808,4418.98,74.9363,0.438879,0.379058
1000,189.763,11.06,812.03,4449.93,74.0904,0.438873,0.378844
1000,191.209,11.16,810.237,4480.61,73.2583,0.438864,0.37863
1000,193.031,11.26,808.428,4511.03,72.4398,0.438854,0.378416
1000,194.868,11.36,806.603,4541.18,71.6344,0.438842,0.378201
1000,196.722,11.46,804.762,4571.05,70.8418,0.438829,0.377987
1000,198.591,11.56,802.906,4600.65,70.0616,0.438814,0.377772
1000,200.476,11.66,801.033,4629.97,69.2935,0.438796,0.377557
1000,202.378,11.76,799.145,4659.01,68.5373,0.438777,0.377342
1000,204.295,11.86,797.24,4687.77,67.7925,0.438756,0.377127
1000,206.229,11.96,795.319,4716.24,67.059,0.438733,0.376912
1000,208.179,12.06,793.382,4744.43,66.3363,0.438708,0.376696
1000,210.145,12.16,791.429,4772.32,65.6243,0.438681,0.376481
1000,212.128,12.26,789.459,4799.91,64.9227,0.438651,0.376265
1000,214.127,12.36,787.474,4827.21,64.2311,0.43862,0.37605
1000,216.142,12.46,785.471,4854.21,63.5495,0.438586,0.375834
1000,218.174,12.56,783.453,4880.91,62.8774,0.438549,0.375618
1000,220.222,12.66,781.418,4907.3,62.2148,0.43851,0.375402
1000,222.287,12.76,779.366,4933.39,61.5613,0.438469,0.375186
1000,224.369,12.86,777.298,4959.16,60.9167,0.438426,0.374969
1000,226.467,12.96,775.213,4984.62,60.2809,0.438379,0.374753
1000,228.582,13.06,773.111,5009.76,59.6537,0.43833,0.374536
1000,230.713,13.16,770.993,5034.59,59.0347,0.438279,0.37432
1000,232.862,13.26,768.858,5059.09,58.4239,0.438225,0.374103
1000,235.027,13.36,766.707,5083.26,57.821,0.438168,0.373886
1000,237.648,13.46,764.538,5107.11,57.2259,0.438108,0.373669
1000,239.408,13.56,762.352,5130.63,56.6384,0.438045,0.373452
1000,242.069,13.66,760.15,5153.82,56.0583,0.43798,0.373234
1000,243.857,13.76,757.931,5176.67,55.4854,0.437912,0.373017
1000,246.107,13.86,755.694,5199.18,54.9196,0.43784,0.3728
1000,248.374,13.96,753.441,5221.35,54.3608,0.437766,0.372582
1000,251.117,14.06,751.17,5243.17,53.8088,0.437689,0.372364
1000,252.96,14.16,748.883,5264.65,53.2634,0.437608,0.372147
1000,255.278,14.26,746.578,5285.77,52.7244,0.437525,0.371929
1000,257.614,14.36,744.256,5306.55,52.1919,0.437438,0.371711
1000,259.967,14.46,741.917,5326.96,51.6655,0.437348,0.371493
1000,262.337,14.56,739.56,5347.02,51.1453,0.437255,0.371275
1000,264.725,14.66,737.187,5366.72,50.631,0.437159,0.371056
1000,267.13,14.76,734.796,5386.05,50.1225,0.437059,0.370838
1000,269.552,14.86,732.387,5405.02,49.6197,0.436956,0.37062
1000,271.992,14.96,729.961,5423.61,49.1226,0.436849,0.370401
1000,274.943,15.06,727.518,5441.83,48.6309,0.436739,0.370182
1000,276.924,15.16,725.057,5459.68,48.1446,0.436626,0.369964
1000,279.417,15.26,722.579,5477.15,47.6635,0.436509,0.369745
1000,281.926,15.36,720.083,5494.23,47.1876,0.436388,0.369526
1000,284.961,15.46,717.57,5510.93,46.7168,0.436264,0.369307
1000,286.999,15.56,715.039,5527.25,46.2509,0.436136,0.369088
1000,289.562,15.66,712.49,5543.17,45.7898,0.436005,0.368869
1000,292.142,15.76,709.924,5558.7,45.3336,0.435869,0.36865
1000,294.74,15.86,707.34,5573.84,44.882,0.435731,0.368431
1000,297.356,15.96,704.738,5588.58,44.435,0.435588,0.368211
1000,299.989,16.06,702.119,5602.91,43.9924,0.435441,0.367992
1000,302.64,16.16,699.482,5616.84,43.5543,0.435291,0.367772
1000,305.309,16.26,696.828,5630.37,43.1205,0.435137,0.367553
1000,307.996,16.36,694.155,5643.48,42.691,0.434979,0.367333
1000,310.7,16.46,691.465,5656.18,42.2656,0.434817,0.367114
1000,313.422,16.56,688.757,5668.47,41.8443,0.434651,0.366894
1000,316.162,16.66,686.031,5680.34,41.427,0.434481,0.366674
1000,318.92,16.76,683.288,5691.79,41.0137,0.434307,0.366454
1000,321.696,16.86,680.526,5702.81,40.6042,0.434128,0.366235
1000,324.489,16.96,677.747,5713.41,40.1985,0.433946,0.366015
1000,327.301,17.06,674.95,5723.58,39.7966,0.43376,0.365795
1000,330.13,17.16,672.135,5733.31,39.3983,0.433569,0.365575
1000,333.549,17.26,669.302,5742.61,39.0036,0.433374,0.365355
1000,335.842,17.36,666.451,5751.48,38.6125,0.433175,0.365135
1000,338.725,17.46,663.583,5759.9,38.2248,0.432972,0.364915
1000,341.626,17.56,660.696,5767.88,37.8406,0.432764,0.364694
1000,344.545,17.66,657.792,5775.41,37.4597,0.432552,0.364474
1000,347.481,17.76,654.87,5782.5,37.0821,0.432336,0.364254
1000,350.436,17.86,651.929,5789.13,36.7077,0.432115,0.364034
1000,353.408,17.96,648.971,5795.31,36.3366,0.43189,0.363814
1000,356.399,18.06,645.995,5801.04,35.9686,0.431661,0.363593
1000,359.407,18.16,643.001,5806.3,35.6036,0.431426,0.363373
1000,362.433,18.26,639.989,5811.1,35.2417,0.431188,0.363153
1000,365.477,18.36,636.96,5815.44,34.8828,0.430945,0.362933
1000,368.539,18.46,633.912,5819.31,34.5268,0.430697,0.362712
1000,371.619,18.56,630.847,5822.71,34.1737,0.430445,0.362492
1000,374.716,18.66,627.763,5825.64,33.8235,0.430188,0.362272
1000,377.831,18.76,624.662,5828.1,33.476,0.429926,0.362051
1000,380.965,18.86,621.543,5830.08,33.1313,0.42966,0.361831
1000,384.116,18.96,618.407,5831.57,32.7893,0.429389,0.361611
1000,387.285,19.06,615.252,5832.59,32.45,0.429114,0.36139
1000,390.471,19.16,612.08,5833.12,32.1133,0.428833,0.36117
1000,394.319,19.26,608.889,5833.16,31.7792,0.428548,0.36095
1000,397.545,19.36,605.681,5832.71,31.4476,0.428258,0.360729
1000,398.192,19.46,602.455,5831.77,31.1186,0.427963,0.360509
1000,398.192,19.56,601.808,5855.59,30.9254,0.427955,0.360289
1000,398.192,19.66,601.808,5885.68,30.7673,0.42802,0.360069
1000,409.964,19.76,601.808,5915.77,30.6108,0.428085,0.359848
1000,413.275,19.86,589.375,5823.03,29.8267,0.426735,0.359628
1000,416.604,19.96,586.061,5819.58,29.5096,0.426415,0.359407
1000,419.95,20.06,582.728,5815.63,29.1948,0.42609,0.359187
1000,423.314,20.16,579.379,5811.17,28.8823,0.425761,0.358967
1000,426.695,20.26,576.011,5806.19,28.572,0.425426,0.358747
1000,430.094,20.36,572.627,5800.71,28.2639,0.425087,0.358527
1000,433.51,20.46,569.224,5794.7,27.958,0.424742,0.358307
1000,436.943,20.56,565.805,5788.18,27.6542,0.424393,0.358087
1000,440.394,20.66,562.368,5781.14,27.3525,0.424038,0.357868
1000,443.862,20.76,558.914,5773.58,27.053,0.423678,0.357648
1000,447.347,20.86,555.443,5765.49,26.7554,0.423313,0.357428
1000,450.849,20.96,551.954,5756.88,26.4599,0.422943,0.357209
1000,454.369,21.06,548.448,5747.74,26.1664,0.422567,0.356989
1000,457.906,21.16,544.925,5738.06,25.8749,0.422187,0.356769
1000,461.46,21.26,541.385,5727.85,25.5853,0.421801,0.35655
1000,465.031,21.36,537.827,5717.1,25.2976,0.42141,0.356331
1000,468.619,21.46,534.253,5705.82,25.0118,0.421013,0.356112
1000,472.223,21.56,530.662,5694,24.7279,0.420612,0.355892
1000,475.845,21.66,527.054,5681.64,24.4459,0.420205,0.355673
1000,479.483,21.76,523.429,5668.73,24.1657,0.419793,0.355454
1000,483.139,21.86,519.787,5655.28,23.8873,0.419375,0.355236
1000,486.811,21.96,516.128,5641.28,23.6106,0.418952,0.355017
1000,490.499,22.06,512.453,5626.74,23.3358,0.418524,0.354798
1000,494.204,22.16,508.761,5611.64,23.0626,0.41809,0.35458
1000,497.926,22.26,505.053,5595.98,22.7912,0.417651,0.354361
1000,501.664,22.36,501.328,5579.78,22.5215,0.417206,0.354143
1000,505.419,22.46,497.586,5563.01,22.2534,0.416756,0.353925
1000,509.19,22.56,493.828,5545.69,21.987,0.4163,0.353706
1000,512.977,22.66,490.054,5527.81,21.7222,0.415839,0.353489
1000,516.781,22.76,486.263,5509.36,21.4591,0.415373,0.353271
1000,520.6,22.86,482.457,5490.36,21.1976,0.414901,0.353053
1000,524.436,22.96,478.634,5470.78,20.9376,0.414423,0.352835
1000,528.288,23.06,474.795,5450.64,20.6792,0.41394,0.352618
1000,532.931,23.16,470.94,5429.93,20.4224,0.413452,0.352401
1000,536.039,23.26,467.069,5408.66,20.167,0.412957,0.352183
1000,539.939,23.36,463.182,5386.81,19.9132,0.412458,0.351966
1000,543.854,23.46,459.279,5364.38,19.6609,0.411952,0.35175
1000,547.785,23.56,455.361,5341.39,19.4101,0.411441,0.351533
1000,551.731,23.66,451.427,5317.81,19.1608,0.410925,0.351316
1000,555.692,23.76,447.478,5293.67,18.9129,0.410403,0.3511
1000,559.669,23.86,443.514,5268.94,18.6664,0.409875,0.350884
1000,563.661,23.96,439.534,5243.64,18.4214,0.409342,0.350668
1000,567.668,24.06,435.539,5217.76,18.1778,0.408803,0.350452
1000,571.69,24.16,431.529,5191.29,17.9355,0.408258,0.350236
1000,575.727,24.26,426.697,5154.5,17.6613,0.407599,0.350021
1000,579.779,24.36,423.464,5136.62,17.4552,0.407152,0.349805
1000,583.845,24.46,419.409,5108.4,17.2171,0.40659,0.34959
1000,587.926,24.56,415.34,5079.6,16.9804,0.406023,0.349375
1000,592.022,24.66,411.256,5050.22,16.7449,0.40545,0.349161
1000,596.132,24.76,407.157,5020.25,16.5108,0.404871,0.348946
1000,600.257,24.86,403.044,4989.68,16.278,0.404287,0.348732
1000,604.396,24.96,398.917,4958.53,16.0465,0.403697,0.348518
1000,608.549,25.06,394.775,4926.79,15.8163,0.403101,0.348304
1000,612.715,25.16,390.619,4894.46,15.5874,0.4025,0.34809
1000,617.734,25.26,386.45,4861.54,15.3597,0.401893,0.347877
1000,621.09,25.36,382.266,4828.02,15.1333,0.40128,0.347664
1000,625.298,25.46,378.069,4793.92,14.9081,0.400661,0.347451
1000,629.52,25.56,373.858,4759.22,14.6841,0.400037,0.347238
1000,633.755,25.66,369.634,4723.93,14.4614,0.399407,0.347025
1000,638.003,25.76,365.397,4688.04,14.2399,0.398772,0.346813
1000,642.264,25.86,361.146,4651.56,14.0197,0.39813,0.346601
1000,646.538,25.96,356.883,4614.49,13.8006,0.397483,0.346389
1000,650.825,26.06,352.606,4576.82,13.5827,0.39683,0.346178
1000,655.124,26.16,348.316,4538.56,13.3659,0.396172,0.345967
1000,659.437,26.26,344.014,4499.71,13.1504,0.395508,0.345756
1000,663.761,26.36,339.699,4460.25,12.936,0.394838,0.345545
1000,668.967,26.46,335.372,4420.21,12.7228,0.394162,0.345334
1000,672.448,26.56,331.033,4379.56,12.5107,0.393481,0.345124
1000,676.809,26.66,326.681,4338.32,12.2997,0.392794,0.344914
1000,681.183,26.76,322.317,4296.49,12.0899,0.392102,0.344705
1000,685.568,26.86,317.941,4254.06,11.8812,0.391403,0.344495
1000,689.964,26.96,313.554,4211.03,11.6736,0.390699,0.344286
