Altitude,Time
79.421,25.04
79.421,25.1
79.4266,25.16
79.4475,25.22
79.485,25.28
79.5335,25.34
79.5871,25.4
79.6472,25.46
79.7181,25.52
79.773,25.56
79.868,25.62
79.9791,25.68
80.0626,25.72
80.2025,25.78
80.3604,25.84
80.5368,25.9
80.7318,25.96
80.9457,26.02
81.2606,26.1
81.7023,26.2
81.993,26.24
82.1976,26.3
82.5207,26.36
82.8631,26.42
83.225,26.48
83.6063,26.54
84.007,26.6
84.427,26.66
84.8665,26.72
85.3254,26.78
85.8036,26.84
86.3011,26.9
86.818,26.96
87.3541,27.02
87.9096,27.08
88.4843,27.14
89.0783,27.2
89.6914,27.26
90.3238,27.32
90.9752,27.38
91.6458,27.44
92.3355,27.5
93.0442,27.56
93.7719,27.62
94.5186,27.68
95.2842,27.74
96.0687,27.8
96.872,27.86
97.694,27.92
98.5348,27.98
99.3943,28.04
100.272,28.1
101.169,28.16
102.084,28.22
103.018,28.28
103.97,28.34
104.94,28.4
105.929,28.46
106.936,28.54
108.307,28.6
109.356,28.66
110.423,28.72
111.508,28.78
112.611,28.84
113.731,28.9
114.87,28.96
116.025,29.02
117.199,29.08
119.598,29.2
120.823,29.26
122.066,29.32
123.326,29.38
124.603,29.44
125.897,29.5
127.207,29.56
128.534,29.62
129.878,29.68
131.239,29.74
132.615,29.8
134.008,29.86
135.418,29.96
137.802,30.02
139.254,30.08
140.722,30.14
142.205,30.2
143.704,30.26
145.219,30.32
147.262,30.4
148.812,30.46
150.377,30.52
151.957,30.58
153.552,30.64
155.162,30.7
156.786,30.76
157.876,30.8
159.524,30.86
161.187,30.92
162.863,30.98
164.553,31.08
167.4,31.14
169.127,31.2
170.867,31.26
172.62,31.32
174.387,31.38
176.166,31.44
177.959,31.5
179.764,31.56
181.581,31.62
183.411,31.68
185.253,31.74
187.108,31.8
188.974,31.86
190.852,31.92
192.742,31.98
194.643,32.04
196.555,32.1
198.479,32.16
200.413,32.22
202.359,32.28
204.315,32.34
206.282,32.4
208.259,32.46
210.246,32.52
212.243,32.58
214.25,32.64
216.266,32.7
218.293,32.76
220.328,32.82
222.373,32.88
224.426,32.94
226.489,33
228.56,33.06
230.639,33.12
232.727,33.18
234.823,33.24
236.926,33.3
239.038,33.36
241.157,33.42
243.283,33.48
245.417,33.54
247.557,33.6
249.704,33.66
251.858,33.72
254.019,33.78
256.185,33.84
258.358,33.9
260.536,33.96
262.721,34.02
264.91,34.08
267.105,34.14
269.305,34.2
271.51,34.26
273.72,34.32
275.196,34.36
277.413,34.42
279.635,34.48
281.86,34.54
285.577,34.64
287.812,34.7
290.051,34.76
296.036,34.92
299.035,35
301.288,35.06
303.544,35.12
305.801,35.18
308.06,35.24
310.321,35.3
312.583,35.36
314.846,35.42
317.11,35.48
319.374,35.54
321.64,35.6
323.905,35.66
326.171,35.72
328.436,35.78
330.702,35.84
332.966,35.9
335.231,35.96
337.494,36.02
339.756,36.08
342.017,36.14
344.276,36.2
346.534,36.26
348.79,36.32
351.043,36.38
353.295,36.44
355.543,36.5
357.79,36.56
360.033,36.62
362.273,36.68
364.51,36.74
366.743,36.8
368.973,36.86
371.199,36.92
373.421,36.98
375.638,37.04
377.851,37.1
380.059,37.16
382.263,37.22
384.461,37.28
386.654,37.34
388.841,37.4
391.023,37.46
393.199,37.52
395.369,37.58
397.532,37.64
399.69,37.7
401.84,37.76
403.984,37.82
406.12,37.88
408.249,37.94
410.371,38
412.486,38.06
415.292,38.14
417.388,38.2
419.476,38.26
421.555,38.32
423.625,38.38
425.687,38.46
428.422,38.52
430.462,38.58
432.493,38.64
434.515,38.7
436.526,38.76
438.528,38.82
440.519,38.88
442.5,38.94
444.471,39
446.431,39.06
448.379,39.12
450.317,39.18
452.244,39.24
454.159,39.3
456.062,39.36
458.582,39.44
460.458,39.5
462.322,39.56
464.173,39.62
466.012,39.68
467.838,39.74
469.651,39.8
471.452,39.86
473.239,39.92
475.013,39.98
476.773,40.04
478.52,40.1
480.253,40.16
481.972,40.22
483.677,40.28
485.367,40.34
487.043,40.4
488.704,40.46
490.351,40.52
491.983,40.58
493.599,40.64
495.201,40.7
496.787,40.76
498.358,40.82
499.913,40.88
501.452,40.94
502.975,41
504.483,41.06
505.974,41.12
507.448,41.18
508.907,41.24
510.348,41.3
511.773,41.36
513.181,41.42
514.572,41.48
515.946,41.54
517.303,41.6
518.642,41.66
519.964,41.72
521.268,41.78
522.554,41.84
523.823,41.9
525.073,41.96
527.52,42.08
528.715,42.14
529.893,42.2
531.052,42.26
532.192,42.32
533.314,42.38
534.417,42.44
535.501,42.5
536.565,42.56
537.611,42.62
538.637,42.68
539.644,42.74
540.632,42.8
541.599,42.86
542.548,42.92
543.476,42.98
544.385,43.04
545.274,43.1
546.142,43.16
546.991,43.22
547.82,43.28
548.628,43.34
549.416,43.4
550.183,43.46
550.931,43.52
551.657,43.58
552.363,43.64
553.048,43.7
553.713,43.76
554.357,43.82
554.98,43.88
555.582,43.94
556.163,44
556.723,44.06
557.262,44.12
557.78,44.18
558.276,44.24
558.752,44.3
559.206,44.36
559.638,44.42
560.05,44.48
560.44,44.54
560.808,44.6
561.155,44.66
561.481,44.72
561.784,44.78
562.067,44.84
562.327,44.9
562.567,44.96
562.784,45.02
562.98,45.08
563.154,45.14
563.306,45.22
563.475,45.28
563.576,45.34
563.656,45.4
563.714,45.46
563.75,45.52
563.764,45.58
563.756,45.64
563.727,45.7
563.675,45.76
563.602,45.82
563.507,45.88
563.391,45.94
563.252,46
563.092,46.06
562.91,46.12
562.706,46.18
562.48,46.24
562.233,46.3
561.963,46.36
561.672,46.42
561.36,46.48
561.026,46.54
560.67,46.6
560.292,46.66
559.893,46.72
559.472,46.78
559.03,46.84
558.566,46.9
558.081,46.96
557.574,47.02
557.046,47.08
556.497,47.14
555.926,47.2
555.334,47.26
554.721,47.32
