Target,Altitude,Time
700,79.4702,628.1
700,79.4702,628.16
700,79.4792,628.22
700,79.513,628.28
700,79.5732,628.34
700,79.6547,628.4
700,79.7626,628.46
700,79.9064,628.52
700,80.0908,628.58
700,80.3193,628.64
700,80.5942,628.7
700,80.9173,628.76
700,81.2899,628.82
700,81.713,628.88
700,82.1873,628.94
700,82.7132,629
700,83.7059,629.1
700,84.3716,629.16
700,85.0901,629.22
700,85.8615,629.28
700,86.6862,629.34
700,87.564,629.4
700,88.4951,629.46
700,89.4797,629.52
700,90.5177,629.58
700,91.6093,629.64
700,92.7545,629.7
700,93.9533,629.76
700,95.2059,629.82
700,96.5122,629.88
700,97.8724,629.94
700,99.2864,630
700,100.754,630.06
700,102.276,630.12
700,103.852,630.18
700,105.482,630.24
700,107.166,630.3
700,108.904,630.36
700,110.697,630.42
700,112.543,630.48
700,114.444,630.54
700,116.399,630.6
700,118.409,630.74
700,124.034,630.82
700,126.243,630.88
700,128.506,630.94
700,130.825,631
700,133.198,631.06
700,135.625,631.12
700,138.107,631.18
700,140.644,631.24
700,143.236,631.3
700,145.882,631.36
700,148.583,631.42
700,151.339,631.48
700,154.15,631.54
700,157.016,631.6
700,159.937,631.66
700,162.912,631.72
700,167.994,631.82
700,172.169,631.9
700,175.365,631.96
700,178.616,632.02
700,181.922,632.08
700,185.283,632.14
700,188.699,632.2
700,192.171,632.26
700,195.697,632.32
700,199.279,632.38
700,202.917,632.44
700,206.609,632.5
700,210.357,632.56
700,214.16,632.62
700,216.726,632.66
700,220.622,632.72
700,224.572,632.78
700,228.578,632.84
700,232.64,632.9
700,236.757,632.96
700,240.929,633.02
700,245.157,633.08
700,249.441,633.14
700,253.779,633.2
700,258.174,633.26
700,262.624,633.32
700,267.129,633.38
700,271.69,633.44
700,276.307,633.5
700,280.979,633.56
700,285.706,633.62
700,290.49,633.68
700,296.954,633.76
700,301.867,633.82
700,306.836,633.88
700,311.86,633.94
700,316.94,634
700,322.076,634.06
700,327.267,634.12
700,332.514,634.18
700,337.817,634.24
700,343.176,634.3
700,348.59,634.36
700,354.06,634.42
700,359.585,634.48
700,365.166,634.54
700,370.803,634.6
700,376.496,634.66
700,382.244,634.72
700,388.048,634.78
700,393.905,634.84
700,399.814,634.9
700,405.774,634.96
700,411.782,635.02
700,417.837,635.08
700,423.938,635.14
700,430.083,635.2
700,436.269,635.26
700,442.496,635.32
700,448.761,635.38
700,455.063,635.44
700,461.4,635.5
700,467.77,635.56
700,474.171,635.62
700,480.602,635.7
700,489.219,635.76
700,497.881,635.84
700,504.404,635.9
700,510.949,635.96
700,517.513,636.02
700,524.095,636.08
700,530.692,636.14
700,537.302,636.2
700,543.923,636.26
700,550.554,636.32
700,557.193,636.38
700,563.838,636.44
700,570.486,636.5
700,577.136,636.56
700,583.787,636.62
700,590.435,636.68
700,597.08,636.74
700,603.719,636.8
700,610.35,636.86
700,616.972,636.92
700,623.582,636.98
700,630.179,637.06
700,638.951,637.12
700,645.509,637.18
700,652.048,637.24
700,658.566,637.3
700,667.219,637.38
700,673.679,637.44
700,682.25,637.52
700,688.643,637.58
700,695.005,637.64
700,703.435,637.72
700,709.715,637.78
700,715.956,637.84
700,722.159,637.9
700,728.322,637.96
700,734.446,638.02
700,742.548,638.1
700,748.579,638.16
700,754.57,638.22
700,760.522,638.28
700,766.434,638.34
700,774.256,638.42
700,780.077,638.5
700,787.776,638.56
700,793.505,638.62
700,799.195,638.68
700,808.592,638.78
700,816.031,638.86
700,821.565,638.92
700,827.06,638.98
700,832.516,639.04
700,837.934,639.1
700,843.313,639.16
700,848.654,639.22
700,853.955,639.28
700,859.219,639.34
700,864.444,639.4
700,869.63,639.46
700,874.778,639.52
700,879.888,639.58
700,884.96,639.64
700,889.993,639.7
700,894.989,639.76
700,899.946,639.82
700,904.865,639.88
700,909.746,639.94
700,914.589,640
700,919.394,640.06
700,924.162,640.12
700,928.891,640.18
700,933.583,640.24
700,938.237,640.3
700,942.853,640.36
700,947.432,640.42
700,951.973,640.48
700,956.477,640.54
700,960.943,640.6
700,965.372,640.66
700,969.763,640.72
700,974.117,640.78
700,978.433,640.84
700,982.712,640.9
700,986.954,640.96
700,991.159,641.02
700,995.326,641.08
700,999.457,641.14
700,1003.55,641.2
700,1007.61,641.26
700,1011.63,641.32
700,1015.61,641.38
700,1019.55,641.44
700,1023.46,641.5
700,1027.33,641.56
700,1031.17,641.62
700,1034.96,641.68
700,1038.73,641.74
700,1042.45,641.8
700,1046.14,641.86
700,1049.79,641.92
700,1053.4,641.98
700,1056.98,642.04
700,1060.52,642.1
700,1064.03,642.16
700,1067.49,642.22
700,1070.92,642.28
700,1074.32,642.34
700,1077.68,642.4
700,1081,642.46
700,1084.29,642.52
700,1087.54,642.58
700,1090.75,642.64
700,1093.93,642.7
700,1097.07,642.76
700,1099.14,642.8
700,1102.22,642.86
700,1105.26,642.92
700,1108.27,642.98
700,1111.25,643.04
700,1114.18,643.1
700,1117.08,643.16
700,1119.94,643.22
700,1122.77,643.28
700,1125.56,643.34
700,1128.32,643.4
700,1131.04,643.46
700,1133.72,643.52
700,1136.37,643.58
700,1138.98,643.64
700,1141.56,643.7
700,1144.1,643.76
700,1146.61,643.82
700,1149.08,643.88
700,1151.51,643.94
700,1153.91,644
700,1156.27,644.06
700,1158.59,644.12
700,1160.88,644.18
