Target,Altitude,Time,P,I,D,Thrott,kP,kI,kD
700,79.3647,0,620.635,0,0,0.434445,0.0007,9E-05,0.0003
700,79.3647,0,620.635,0,0,0.434445,,,
700,79.3686,0,620.635,0,0,0.434444,,,
700,79.3832,0,620.628,0,0,0.43444,,,
700,79.4098,0,620.609,0,0,0.434426,,,
700,79.4443,0,620.579,0,0,0.434406,,,
700,79.4808,0,620.544,0,0,0.43438,,,
700,79.515,0,620.507,0,0,0.434355,,,
700,79.5457,0,620.474,0,0,0.434332,,,
700,79.5744,0,620.445,0,0,0.434311,,,
700,79.6025,0,620.416,0,0,0.434291,,,
700,79.6516,0.02,620.388,-24.8155,620.288,0.618125,,,
700,79.6835,0.12,620.338,6.20338,620.238,0.620866,,,
700,79.7191,0.18,620.305,24.8122,620.205,0.622508,,,
700,79.7627,0.24,620.267,43.4187,620.167,0.624145,,,
700,79.8383,0.3,620.221,62.0221,620.121,0.625772,,,
700,79.8852,0.36,620.162,80.621,620.062,0.627388,,,
700,79.9683,0.42,620.089,99.2142,619.989,0.628988,,,
700,80.0679,0.48,620,117.8,619.9,0.630572,,,
700,80.1849,0.54,619.895,136.377,619.795,0.632139,,,
700,80.3202,0.6,619.772,154.943,619.672,0.633687,,,
700,80.4744,0.66,619.63,173.497,619.53,0.635215,,,
700,80.7102,0.72,619.47,192.036,619.37,0.636723,,,
700,80.8413,0.78,619.29,210.559,619.19,0.63821,,,
700,81.0547,0.84,619.09,229.063,618.99,0.639676,,,
700,81.2884,0.9,618.87,247.548,618.77,0.641119,,,
700,81.5429,0.96,618.629,266.01,618.529,0.64254,,,
700,81.9146,1.04,618.276,290.59,618.176,0.644399,,,
700,82.218,1.1,617.987,308.993,617.887,0.645766,,,
700,82.5427,1.16,617.676,327.368,617.576,0.647109,,,
700,83.6464,1.34,616.616,382.302,616.516,0.650993,,,
700,84.3445,1.44,615.942,412.681,615.842,0.653053,,,
700,84.7928,1.5,615.509,430.856,615.409,0.654256,,,
700,85.2635,1.56,615.053,448.989,614.953,0.655432,,,
700,86.0979,1.62,614.575,467.077,614.475,0.656582,,,
700,86.6287,1.72,613.728,497.119,613.628,0.658438,,,
700,87.1824,1.78,613.189,515.079,613.089,0.659516,,,
700,87.7591,1.84,612.628,532.986,612.528,0.660567,,,
700,88.5639,1.92,611.844,556.778,611.744,0.661924,,,
700,89.1946,1.98,611.228,574.555,611.128,0.662908,,,
700,89.8487,2.04,610.59,592.272,610.49,0.663864,,,
700,90.5264,2.1,609.928,609.928,609.828,0.664792,,,
700,91.2277,2.16,609.242,627.52,609.142,0.665689,,,
700,91.9527,2.22,608.533,645.045,608.433,0.666557,,,
700,92.7016,2.28,607.8,662.502,607.7,0.667396,,,
700,93.4745,2.34,607.043,679.889,606.943,0.668203,,,
700,94.2715,2.4,606.263,697.202,606.163,0.668981,,,
700,95.0926,2.46,605.457,714.44,605.357,0.669727,,,
700,95.9381,2.52,604.628,731.6,604.528,0.670442,,,
700,96.8079,2.58,603.775,748.681,603.675,0.671126,,,
700,97.7023,2.64,602.897,765.679,602.797,0.671778,,,
700,98.6212,2.7,601.994,782.592,601.894,0.672397,,,
700,99.5648,2.76,601.067,799.419,600.967,0.672985,,,
700,100.533,2.82,600.115,816.157,600.015,0.673539,,,
700,101.526,2.88,599.139,832.803,599.039,0.674061,,,
700,102.544,2.94,598.137,849.355,598.037,0.674549,,,
700,103.588,3,597.111,865.81,597.011,0.675004,,,
700,104.656,3.06,596.059,882.168,595.959,0.675424,,,
700,105.749,3.12,594.983,898.424,594.883,0.675811,,,
700,106.868,3.18,593.881,914.577,593.781,0.676163,,,
700,108.011,3.24,592.754,930.624,592.654,0.67648,,,
700,109.181,3.3,591.602,946.563,591.502,0.676762,,,
700,110.375,3.36,590.424,962.391,590.324,0.677009,,,
700,111.595,3.42,589.221,978.107,589.121,0.677221,,,
700,112.841,3.48,587.992,993.707,587.892,0.677396,,,
