kP,kI,kD,,,,
1.00E-05,1.00E-05,0.0001,,,,
Target,Altitude,Time,P,I,D,Thrott
1000,79.4162,0,920.584,0,0,0.412414
1000,79.4177,0,920.584,0,0,0.412411
1000,79.441,0,920.58,0,0,0.412349
1000,79.4912,0,920.551,0,0,0.412236
1000,79.5475,0,920.497,0,0,0.412094
1000,79.6026,0,920.442,0,0,0.411934
1000,79.6324,0,920.397,0,0,0.411764
1000,79.6667,0,920.354,0,0,0.411588
1000,79.7008,0.08,920.326,-9.20326,-46016.3,-4.19032
1000,79.7302,0.18,920.292,36.8117,11503.7,1.56198
1000,79.6987,0.28,920.27,82.8243,5112.61,0.923292
1000,79.6384,0.38,920.314,128.844,3286.83,0.741017
1000,79.6165,0.48,920.371,174.87,2422.03,0.654734
1000,79.661,0.58,920.38,220.891,1917.46,0.604441
1000,79.7687,0.68,920.322,266.893,1586.76,0.571538
1000,79.9306,0.78,920.173,312.859,1353.19,0.548366
1000,80.1375,0.88,920.031,358.812,1179.53,0.531199
1000,80.383,0.98,919.816,404.719,1045.25,0.517979
1000,80.6627,1.08,919.509,450.559,938.274,0.507497
1000,80.9728,1.18,919.278,496.41,851.183,0.499009
1000,81.3109,1.28,918.962,542.187,778.781,0.491993
1000,81.6745,1.38,918.618,587.916,717.671,0.486109
1000,82.062,1.48,918.25,633.592,665.398,0.481111
1000,82.472,1.58,917.777,679.155,620.119,0.476812
1000,82.9031,1.68,917.443,724.78,580.66,0.4731
1000,83.3543,1.78,916.919,770.212,545.785,0.469844
1000,83.8247,1.88,916.553,815.732,514.917,0.466992
1000,84.3136,1.98,916.079,861.114,487.276,0.464462
1000,84.8203,2.08,915.486,906.331,462.367,0.462203
1000,85.3441,2.18,915.076,951.679,439.941,0.460197
1000,85.8846,2.28,914.442,996.741,419.469,0.458382
1000,86.4412,2.38,914.005,1041.97,400.88,0.45676
1000,87.0137,2.48,913.446,1087,383.801,0.455286
1000,87.6016,2.58,912.87,1131.96,368.093,0.453949
1000,88.2046,2.68,912.279,1176.84,353.597,0.452732
1000,88.8225,2.78,911.673,1221.64,340.176,0.451623
1000,89.5831,2.88,911.052,1266.36,327.717,0.450609
1000,90.1017,2.98,910.288,1310.81,316.072,0.449673
1000,90.7626,3.08,909.767,1355.55,305.291,0.448828
1000,91.4375,3.18,909.104,1400.02,295.163,0.448046
1000,92.2656,3.28,908.289,1444.18,285.625,0.447318
1000,92.8286,3.38,907.734,1488.68,276.748,0.446662
1000,93.5445,3.48,907.029,1532.88,268.352,0.44605
1000,94.2739,3.58,906.311,1576.98,260.434,0.445484
1000,95.0166,3.68,905.579,1620.99,252.955,0.444962
1000,95.7725,3.78,904.683,1664.62,245.838,0.444471
1000,96.5415,3.88,904.075,1708.7,239.173,0.444032
1000,97.3237,3.98,903.303,1752.41,232.81,0.443618
1000,98.2795,4.08,902.518,1796.01,226.763,0.443235
1000,99.0903,4.18,901.721,1839.51,221.01,0.44288
1000,99.7482,4.28,900.746,1882.56,215.489,0.442542
1000,100.582,4.38,900.086,1926.18,210.3,0.442246
1000,101.429,4.48,899.249,1969.36,205.308,0.441964
1000,102.289,4.58,898.4,2012.42,200.536,0.441702
1000,103.162,4.68,897.537,2055.36,195.969,0.441459
1000,104.226,4.78,896.662,2098.19,191.595,0.441235
1000,104.945,4.88,895.774,2140.9,187.4,0.441027
1000,105.857,4.98,894.873,2183.49,183.376,0.440835
1000,106.967,5.08,893.96,2225.96,179.51,0.440657
1000,107.718,5.18,893.033,2268.3,175.794,0.440493
1000,108.667,5.28,892.094,2310.52,172.219,0.440341
1000,109.63,5.38,891.141,2352.61,168.777,0.440201
1000,110.605,5.48,889.982,2394.05,165.424,0.440062
1000,111.594,5.58,889.198,2436.4,162.262,0.439954
1000,112.595,5.68,888.207,2478.1,159.177,0.439846
1000,113.813,5.78,887.203,2519.66,156.198,0.439746
1000,114.636,5.88,886.187,2561.08,153.319,0.439655
1000,115.677,5.98,885.157,2602.36,150.537,0.439572
1000,116.73,6.08,884.114,2643.5,147.845,0.439496
1000,118.011,6.18,883.058,2684.5,145.24,0.439428
1000,118.875,6.28,881.989,2725.35,142.717,0.439366
1000,119.968,6.38,880.907,2766.05,140.272,0.43931
1000,121.074,6.48,879.812,2806.6,137.902,0.439259
1000,122.193,6.58,878.48,2846.28,135.568,0.439202
1000,123.325,6.68,877.582,2887.24,133.371,0.439175
1000,124.471,6.78,876.447,2927.33,131.205,0.439139
1000,125.63,6.88,875.299,2967.26,129.1,0.439108
1000,126.802,6.98,874.137,3007.03,127.055,0.439081
1000,127.988,7.08,872.962,3046.64,125.066,0.439058
1000,129.187,7.18,871.773,3086.08,123.132,0.439039
1000,130.4,7.28,870.571,3125.35,121.249,0.439023
1000,131.874,7.38,869.356,3164.45,119.417,0.439009
1000,132.867,7.48,868.126,3203.39,117.632,0.438999
1000,134.121,7.58,866.884,3242.14,115.894,0.438991
1000,135.388,7.68,865.627,3280.73,114.199,0.438986
1000,136.67,7.78,864.356,3319.13,112.546,0.438982
1000,137.965,7.88,863.072,3357.35,110.935,0.438981
1000,139.274,7.98,861.774,3395.39,109.362,0.438981
1000,140.598,8.08,860.462,3433.24,107.827,0.438984
1000,142.204,8.18,859.136,3470.91,106.329,0.438987
1000,143.286,8.28,857.796,3508.39,104.865,0.438992
1000,144.927,8.38,856.442,3545.67,103.435,0.438998
1000,146.032,8.48,855.073,3582.76,102.037,0.439005
1000,147.426,8.58,853.691,3619.65,100.671,0.439013
1000,148.834,8.68,852.294,3656.34,99.335,0.439022
1000,150.257,8.78,850.883,3692.83,98.028,0.439031
1000,151.983,8.88,849.457,3729.12,96.7491,0.439041
1000,153.145,8.98,848.017,3765.2,95.4974,0.439051
1000,154.612,9.08,846.562,3801.07,94.272,0.439062
1000,156.093,9.18,845.093,3836.72,93.0719,0.439072
1000,157.588,9.28,843.609,3872.17,91.8965,0.439083
1000,159.098,9.38,842.111,3907.39,90.7447,0.439094
1000,160.624,9.48,840.598,3942.4,89.616,0.439104
1000,162.163,9.58,839.07,3977.19,88.5095,0.439114
1000,163.718,9.68,837.527,4011.75,87.4245,0.439124
1000,165.288,9.78,835.969,4046.09,86.3604,0.439133
1000,166.873,9.88,834.396,4080.2,85.3166,0.439142
1000,168.473,9.98,832.808,4114.07,84.2923,0.43915
1000,170.088,10.08,830.883,4146.11,83.2548,0.439134
1000,171.718,10.18,829.262,4179.48,82.268,0.439141
1000,173.364,10.28,827.954,4214.28,81.3314,0.439169
1000,175.025,10.38,826.305,4247.21,80.3799,0.439174
1000,176.701,10.48,824.641,4279.89,79.4452,0.439177
1000,178.393,10.58,822.962,4312.32,78.5269,0.43918
1000,180.1,10.68,821.267,4344.5,77.6245,0.439181
1000,181.823,10.78,819.556,4376.43,76.7375,0.439181
1000,183.562,10.88,817.83,4408.11,75.8655,0.439179
1000,185.316,10.98,816.089,4439.52,75.0082,0.439177
1000,187.086,11.08,814.331,4470.68,74.165,0.439172
1000,188.872,11.18,812.558,4501.57,73.3356,0.439167
1000,191.036,11.28,810.769,4532.2,72.5196,0.439159
1000,192.491,11.38,808.964,4562.56,71.7167,0.43915
1000,194.325,11.48,807.143,4592.65,70.9265,0.439139
1000,196.175,11.58,805.307,4622.46,70.1487,0.439126
1000,198.04,11.68,803.454,4652,69.3829,0.439112
1000,199.922,11.78,801.584,4681.25,68.6288,0.439095
1000,201.821,11.88,799.699,4710.23,67.8862,0.439077
1000,203.735,11.98,797.798,4738.92,67.1547,0.439057
1000,205.666,12.08,795.88,4767.32,66.4341,0.439034
1000,207.613,12.18,793.557,4793.09,65.6918,0.438979
1000,209.577,12.28,791.996,4823.25,65.0243,0.438983
1000,211.557,12.38,790.029,4850.78,64.3346,0.438953
1000,213.553,12.48,788.045,4878,63.6547,0.438922
1000,215.566,12.58,786.046,4904.93,62.9844,0.438888
1000,217.595,12.68,784.029,4931.55,62.3235,0.438852
1000,220.053,12.78,781.997,4957.86,61.6717,0.438814
1000,222.119,12.88,779.947,4983.86,61.0287,0.438773
1000,223.784,12.98,777.881,5009.55,60.3945,0.438729
1000,225.88,13.08,775.798,5034.93,59.7687,0.438683
1000,227.994,13.18,773.698,5059.99,59.1512,0.438634
1000,230.552,13.28,771.582,5084.72,58.5419,0.438582
1000,232.27,13.38,769.448,5109.14,57.9404,0.438528
1000,234.434,13.48,767.298,5133.22,57.3466,0.438471
1000,236.615,13.58,765.131,5156.98,56.7604,0.438411
1000,239.255,13.68,762.947,5180.41,56.1816,0.438349
1000,241.028,13.78,760.745,5203.5,55.61,0.438283
1000,243.26,13.88,758.527,5226.25,55.0455,0.438214
1000,245.51,13.98,756.291,5248.66,54.4878,0.438143
1000,247.776,14.08,754.038,5270.73,53.9369,0.438068
